X Y  Index
---------------------------------------------------
0 0 :0
0.0990099 0 :1
0.19802 0 :2
0.29703 0 :3
0.39604 0 :4
0.49505 0 :5
0.594059 0 :6
0.693069 0 :7
0.792079 0 :8
0.891089 0 :9
0.990099 0 :10
1.08911 0 :11
1.18812 0 :12
1.28713 0 :13
1.38614 0 :14
1.48515 0 :15
1.58416 0 :16
1.68317 0 :17
1.78218 0 :18
1.88119 0 :19
1.9802 0 :20
2.07921 0 :21
2.17822 0 :22
2.27723 0 :23
2.37624 0 :24
2.47525 0 :25
2.57426 0 :26
2.67327 0 :27
2.77228 0 :28
2.87129 0 :29
2.9703 0 :30
3.06931 0 :31
3.16832 0 :32
3.26733 0 :33
3.36634 0 :34
3.46535 0 :35
3.56436 0 :36
3.66337 0 :37
3.76238 0 :38
3.86139 0 :39
3.9604 0 :40
4.05941 0 :41
4.15842 0 :42
4.25743 0 :43
4.35644 0 :44
4.45545 0 :45
4.55446 0 :46
4.65347 0 :47
4.75248 0 :48
4.85149 0 :49
4.9505 0 :50
5.0495 0 :51
5.14851 0 :52
5.24752 0 :53
5.34653 0 :54
5.44554 0 :55
5.54455 0 :56
5.64356 0 :57
5.74257 0 :58
5.84158 0 :59
5.94059 0 :60
6.0396 0 :61
6.13861 0 :62
6.23762 0 :63
6.33663 0 :64
6.43564 0 :65
6.53465 0 :66
6.63366 0 :67
6.73267 0 :68
6.83168 0 :69
6.93069 0 :70
7.0297 0 :71
7.12871 0 :72
7.22772 0 :73
7.32673 0 :74
7.42574 0 :75
7.52475 0 :76
7.62376 0 :77
7.72277 0 :78
7.82178 0 :79
7.92079 0 :80
8.0198 0 :81
8.11881 0 :82
8.21782 0 :83
8.31683 0 :84
8.41584 0 :85
8.51485 0 :86
8.61386 0 :87
8.71287 0 :88
8.81188 0 :89
8.91089 0 :90
9.0099 0 :91
9.10891 0 :92
9.20792 0 :93
9.30693 0 :94
9.40594 0 :95
9.50495 0 :96
9.60396 0 :97
9.70297 0 :98
9.80198 0 :99
9.90099 0 :100
X Y  Index
---------------------------------------------------
0 0.0990099 :102
0.0990099 0.0990099 :103
0.19802 0.0990099 :104
0.29703 0.0990099 :105
0.39604 0.0990099 :106
0.49505 0.0990099 :107
0.594059 0.0990099 :108
0.693069 0.0990099 :109
0.792079 0.0990099 :110
