X Y Index
---------------------------------------------------
0 5.2381 :242
0.47619 5.2381 :243
0.952381 5.2381 :244
1.42857 5.2381 :245
1.90476 5.2381 :246
2.38095 5.2381 :247
2.85714 5.2381 :248
3.33333 5.2381 :249
3.80952 5.2381 :250
4.28571 5.2381 :251
4.7619 5.2381 :252
5.2381 5.2381 :253
5.71429 5.2381 :254
6.19048 5.2381 :255
6.66667 5.2381 :256
7.14286 5.2381 :257
7.61905 5.2381 :258
8.09524 5.2381 :259
8.57143 5.2381 :260
9.04762 5.2381 :261
9.52381 5.2381 :262
10 5.2381 :263
X Y Index
---------------------------------------------------
0 5.71429 :264
0.47619 5.71429 :265
0.952381 5.71429 :266
1.42857 5.71429 :267
1.90476 5.71429 :268
2.38095 5.71429 :269
2.85714 5.71429 :270
3.33333 5.71429 :271
3.80952 5.71429 :272
4.28571 5.71429 :273
4.7619 5.71429 :274
5.2381 5.71429 :275
5.71429 5.71429 :276
6.19048 5.71429 :277
6.66667 5.71429 :278
7.14286 5.71429 :279
7.61905 5.71429 :280
8.09524 5.71429 :281
8.57143 5.71429 :282
9.04762 5.71429 :283
9.52381 5.71429 :284
10 5.71429 :285
X Y Index
---------------------------------------------------
0 6.19048 :286
0.47619 6.19048 :287
0.952381 6.19048 :288
1.42857 6.19048 :289
1.90476 6.19048 :290
2.38095 6.19048 :291
2.85714 6.19048 :292
3.33333 6.19048 :293
3.80952 6.19048 :294
4.28571 6.19048 :295
4.7619 6.19048 :296
5.2381 6.19048 :297
5.71429 6.19048 :298
6.19048 6.19048 :299
6.66667 6.19048 :300
7.14286 6.19048 :301
7.61905 6.19048 :302
8.09524 6.19048 :303
8.57143 6.19048 :304
9.04762 6.19048 :305
9.52381 6.19048 :306
10 6.19048 :307
X Y Index
---------------------------------------------------
0 6.66667 :308
0.47619 6.66667 :309
0.952381 6.66667 :310
1.42857 6.66667 :311
1.90476 6.66667 :312
2.38095 6.66667 :313
2.85714 6.66667 :314
3.33333 6.66667 :315
3.80952 6.66667 :316
4.28571 6.66667 :317
4.7619 6.66667 :318
5.2381 6.66667 :319
5.71429 6.66667 :320
6.19048 6.66667 :321
6.66667 6.66667 :322
7.14286 6.66667 :323
7.61905 6.66667 :324
8.09524 6.66667 :325
8.57143 6.66667 :326
9.04762 6.66667 :327
9.52381 6.66667 :328
10 6.66667 :329
X Y Index
---------------------------------------------------
0 7.14286 :330
0.47619 7.14286 :331
0.952381 7.14286 :332
1.42857 7.14286 :333
1.90476 7.14286 :334
2.38095 7.14286 :335
2.85714 7.14286 :336
3.33333 7.14286 :337
3.80952 7.14286 :338
4.28571 7.14286 :339
4.7619 7.14286 :340
5.2381 7.14286 :341
5.71429 7.14286 :342
6.19048 7.14286 :343
6.66667 7.14286 :344
7.14286 7.14286 :345
7.61905 7.14286 :346
8.09524 7.14286 :347
8.57143 7.14286 :348
9.04762 7.14286 :349
9.52381 7.14286 :350
10 7.14286 :351
X Y Index
---------------------------------------------------
0 7.61905 :352
0.47619 7.61905 :353
0.952381 7.61905 :354
1.42857 7.61905 :355
1.90476 7.61905 :356
2.38095 7.61905 :357
2.85714 7.61905 :358
3.33333 7.61905 :359
3.80952 7.61905 :360
4.28571 7.61905 :361
4.7619 7.61905 :362
5.2381 7.61905 :363
5.71429 7.61905 :364
6.19048 7.61905 :365
6.66667 7.61905 :366
7.14286 7.61905 :367
7.61905 7.61905 :368
8.09524 7.61905 :369
8.57143 7.61905 :370
9.04762 7.61905 :371
9.52381 7.61905 :372
10 7.61905 :373
X Y Index
---------------------------------------------------
0 8.09524 :374
0.47619 8.09524 :375
0.952381 8.09524 :376
1.42857 8.09524 :377
1.90476 8.09524 :378
2.38095 8.09524 :379
2.85714 8.09524 :380
3.33333 8.09524 :381
3.80952 8.09524 :382
4.28571 8.09524 :383
4.7619 8.09524 :384
5.2381 8.09524 :385
5.71429 8.09524 :386
6.19048 8.09524 :387
6.66667 8.09524 :388
7.14286 8.09524 :389
7.61905 8.09524 :390
8.09524 8.09524 :391
8.57143 8.09524 :392
9.04762 8.09524 :393
9.52381 8.09524 :394
10 8.09524 :395
X Y Index
---------------------------------------------------
0 8.57143 :396
0.47619 8.57143 :397
0.952381 8.57143 :398
1.42857 8.57143 :399
1.90476 8.57143 :400
2.38095 8.57143 :401
2.85714 8.57143 :402
3.33333 8.57143 :403
3.80952 8.57143 :404
4.28571 8.57143 :405
4.7619 8.57143 :406
5.2381 8.57143 :407
5.71429 8.57143 :408
6.19048 8.57143 :409
6.66667 8.57143 :410
7.14286 8.57143 :411
7.61905 8.57143 :412
8.09524 8.57143 :413
8.57143 8.57143 :414
9.04762 8.57143 :415
9.52381 8.57143 :416
10 8.57143 :417
X Y Index
---------------------------------------------------
0 9.04762 :418
0.47619 9.04762 :419
0.952381 9.04762 :420
1.42857 9.04762 :421
1.90476 9.04762 :422
2.38095 9.04762 :423
2.85714 9.04762 :424
3.33333 9.04762 :425
3.80952 9.04762 :426
4.28571 9.04762 :427
4.7619 9.04762 :428
5.2381 9.04762 :429
5.71429 9.04762 :430
6.19048 9.04762 :431
6.66667 9.04762 :432
7.14286 9.04762 :433
7.61905 9.04762 :434
8.09524 9.04762 :435
8.57143 9.04762 :436
9.04762 9.04762 :437
9.52381 9.04762 :438
10 9.04762 :439
X Y Index
---------------------------------------------------
0 9.52381 :440
0.47619 9.52381 :441
0.952381 9.52381 :442
1.42857 9.52381 :443
1.90476 9.52381 :444
2.38095 9.52381 :445
2.85714 9.52381 :446
3.33333 9.52381 :447
3.80952 9.52381 :448
4.28571 9.52381 :449
4.7619 9.52381 :450
5.2381 9.52381 :451
5.71429 9.52381 :452
6.19048 9.52381 :453
6.66667 9.52381 :454
7.14286 9.52381 :455
7.61905 9.52381 :456
8.09524 9.52381 :457
8.57143 9.52381 :458
9.04762 9.52381 :459
9.52381 9.52381 :460
10 9.52381 :461
X Y Index
---------------------------------------------------
0 10 :462
0.47619 10 :463
0.952381 10 :464
1.42857 10 :465
1.90476 10 :466
2.38095 10 :467
2.85714 10 :468
3.33333 10 :469
3.80952 10 :470
4.28571 10 :471
4.7619 10 :472
5.2381 10 :473
5.71429 10 :474
6.19048 10 :475
6.66667 10 :476
7.14286 10 :477
7.61905 10 :478
8.09524 10 :479
8.57143 10 :480
9.04762 10 :481
9.52381 10 :482
10 10 :483
