X Y Index
---------------------------------------------------
0 0 :0
1.11111 0 :1
2.22222 0 :2
3.33333 0 :3
4.44444 0 :4
5.55556 0 :5
6.66667 0 :6
7.77778 0 :7
8.88889 0 :8
10 0 :9
X Y Index
---------------------------------------------------
0 1.11111 :10
1.11111 1.11111 :11
2.22222 1.11111 :12
3.33333 1.11111 :13
4.44444 1.11111 :14
5.55556 1.11111 :15
6.66667 1.11111 :16
7.77778 1.11111 :17
8.88889 1.11111 :18
10 1.11111 :19
X Y Index
---------------------------------------------------
0 2.22222 :20
1.11111 2.22222 :21
2.22222 2.22222 :22
3.33333 2.22222 :23
4.44444 2.22222 :24
5.55556 2.22222 :25
6.66667 2.22222 :26
7.77778 2.22222 :27
8.88889 2.22222 :28
10 2.22222 :29
X Y Index
---------------------------------------------------
0 3.33333 :30
1.11111 3.33333 :31
2.22222 3.33333 :32
3.33333 3.33333 :33
4.44444 3.33333 :34
5.55556 3.33333 :35
6.66667 3.33333 :36
7.77778 3.33333 :37
8.88889 3.33333 :38
10 3.33333 :39
X Y Index
---------------------------------------------------
0 4.44444 :40
1.11111 4.44444 :41
2.22222 4.44444 :42
3.33333 4.44444 :43
4.44444 4.44444 :44
5.55556 4.44444 :45
6.66667 4.44444 :46
7.77778 4.44444 :47
8.88889 4.44444 :48
10 4.44444 :49
X Y Index
---------------------------------------------------
0 5.55556 :50
1.11111 5.55556 :51
2.22222 5.55556 :52
3.33333 5.55556 :53
4.44444 5.55556 :54
5.55556 5.55556 :55
6.66667 5.55556 :56
7.77778 5.55556 :57
8.88889 5.55556 :58
10 5.55556 :59
X Y Index
---------------------------------------------------
0 6.66667 :60
1.11111 6.66667 :61
2.22222 6.66667 :62
3.33333 6.66667 :63
4.44444 6.66667 :64
5.55556 6.66667 :65
6.66667 6.66667 :66
7.77778 6.66667 :67
8.88889 6.66667 :68
10 6.66667 :69
X Y Index
---------------------------------------------------
0 7.77778 :70
1.11111 7.77778 :71
2.22222 7.77778 :72
3.33333 7.77778 :73
4.44444 7.77778 :74
5.55556 7.77778 :75
6.66667 7.77778 :76
7.77778 7.77778 :77
8.88889 7.77778 :78
10 7.77778 :79
X Y Index
---------------------------------------------------
0 8.88889 :80
1.11111 8.88889 :81
2.22222 8.88889 :82
3.33333 8.88889 :83
4.44444 8.88889 :84
5.55556 8.88889 :85
6.66667 8.88889 :86
7.77778 8.88889 :87
8.88889 8.88889 :88
10 8.88889 :89
X Y Index
---------------------------------------------------
0 10 :90
1.11111 10 :91
2.22222 10 :92
3.33333 10 :93
4.44444 10 :94
5.55556 10 :95
6.66667 10 :96
7.77778 10 :97
8.88889 10 :98
10 10 :99
