X Y  Index
0.2 8.4 :8486
0.2 8.5 :8587
0.2 8.6 :8688
0.2 8.7 :8789
0.2 8.8 :8890
0.2 8.9 :8991
0.2 9 :9092
0.2 9.1 :9193
0.2 9.2 :9294
0.2 9.3 :9395
0.2 9.4 :9496
0.2 9.5 :9597
0.2 9.6 :9698
0.2 9.7 :9799
0.2 9.8 :9900
0.2 9.9 :10001
0.2 10 :10102
X Y  Index
---------------------------------------------------
0.3 0 :3
0.3 0.1 :104
0.3 0.2 :205
0.3 0.3 :306
0.3 0.4 :407
0.3 0.5 :508
0.3 0.6 :609
0.3 0.7 :710
0.3 0.8 :811
0.3 0.9 :912
0.3 1 :1013
0.3 1.1 :1114
0.3 1.2 :1215
0.3 1.3 :1316
0.3 1.4 :1417
0.3 1.5 :1518
0.3 1.6 :1619
0.3 1.7 :1720
0.3 1.8 :1821
0.3 1.9 :1922
0.3 2 :2023
0.3 2.1 :2124
0.3 2.2 :2225
0.3 2.3 :2326
0.3 2.4 :2427
0.3 2.5 :2528
0.3 2.6 :2629
0.3 2.7 :2730
0.3 2.8 :2831
0.3 2.9 :2932
0.3 3 :3033
0.3 3.1 :3134
0.3 3.2 :3235
0.3 3.3 :3336
0.3 3.4 :3437
0.3 3.5 :3538
0.3 3.6 :3639
0.3 3.7 :3740
0.3 3.8 :3841
0.3 3.9 :3942
0.3 4 :4043
0.3 4.1 :4144
0.3 4.2 :4245
0.3 4.3 :4346
0.3 4.4 :4447
0.3 4.5 :4548
0.3 4.6 :4649
0.3 4.7 :4750
0.3 4.8 :4851
0.3 4.9 :4952
0.3 5 :5053
0.3 5.1 :5154
0.3 5.2 :5255
0.3 5.3 :5356
0.3 5.4 :5457
0.3 5.5 :5558
0.3 5.6 :5659
0.3 5.7 :5760
0.3 5.8 :5861
0.3 5.9 :5962
0.3 6 :6063
0.3 6.1 :6164
0.3 6.2 :6265
0.3 6.3 :6366
0.3 6.4 :6467
0.3 6.5 :6568
0.3 6.6 :6669
0.3 6.7 :6770
0.3 6.8 :6871
0.3 6.9 :6972
0.3 7 :7073
0.3 7.1 :7174
0.3 7.2 :7275
0.3 7.3 :7376
0.3 7.4 :7477
0.3 7.5 :7578
0.3 7.6 :7679
0.3 7.7 :7780
0.3 7.8 :7881
0.3 7.9 :7982
0.3 8 :8083
0.3 8.1 :8184
0.3 8.2 :8285
0.3 8.3 :8386
0.3 8.4 :8487
0.3 8.5 :8588
0.3 8.6 :8689
0.3 8.7 :8790
0.3 8.8 :8891
0.3 8.9 :8992
0.3 9 :9093
0.3 9.1 :9194
0.3 9.2 :9295
0.3 9.3 :9396
0.3 9.4 :9497
0.3 9.5 :9598
0.3 9.6 :9699
0.3 9.7 :9800
0.3 9.8 :9901
0.3 9.9 :10002
0.3 10 :10103
X Y  Index
---------------------------------------------------
0.4 0 :4
0.4 0.1 :105
0.4 0.2 :206
0.4 0.3 :307
0.4 0.4 :408
0.4 0.5 :509
0.4 0.6 :610
0.4 0.7 :711
0.4 0.8 :812
0.4 0.9 :913
0.4 1 :1014
0.4 1.1 :1115
0.4 1.2 :1216
0.4 1.3 :1317
0.4 1.4 :1418
0.4 1.5 :1519
0.4 1.6 :1620
0.4 1.7 :1721
0.4 1.8 :1822
0.4 1.9 :1923
0.4 2 :2024
0.4 2.1 :2125
0.4 2.2 :2226
0.4 2.3 :2327
0.4 2.4 :2428
0.4 2.5 :2529
0.4 2.6 :2630
0.4 2.7 :2731
0.4 2.8 :2832
0.4 2.9 :2933
0.4 3 :3034
0.4 3.1 :3135
0.4 3.2 :3236
0.4 3.3 :3337
0.4 3.4 :3438
0.4 3.5 :3539
0.4 3.6 :3640
0.4 3.7 :3741
0.4 3.8 :3842
0.4 3.9 :3943
0.4 4 :4044
0.4 4.1 :4145
0.4 4.2 :4246
0.4 4.3 :4347
0.4 4.4 :4448
0.4 4.5 :4549
0.4 4.6 :4650
0.4 4.7 :4751
0.4 4.8 :4852
0.4 4.9 :4953
0.4 5 :5054
0.4 5.1 :5155
0.4 5.2 :5256
0.4 5.3 :5357
0.4 5.4 :5458
0.4 5.5 :5559
0.4 5.6 :5660
0.4 5.7 :5761
0.4 5.8 :5862
0.4 5.9 :5963
0.4 6 :6064
0.4 6.1 :6165
0.4 6.2 :6266
0.4 6.3 :6367
0.4 6.4 :6468
0.4 6.5 :6569
0.4 6.6 :6670
0.4 6.7 :6771
0.4 6.8 :6872
0.4 6.9 :6973
0.4 7 :7074
0.4 7.1 :7175
0.4 7.2 :7276
0.4 7.3 :7377
0.4 7.4 :7478
0.4 7.5 :7579
0.4 7.6 :7680
0.4 7.7 :7781
0.4 7.8 :7882
0.4 7.9 :7983
0.4 8 :8084
0.4 8.1 :8185
0.4 8.2 :8286
0.4 8.3 :8387
0.4 8.4 :8488
0.4 8.5 :8589
0.4 8.6 :8690
0.4 8.7 :8791
0.4 8.8 :8892
0.4 8.9 :8993
0.4 9 :9094
0.4 9.1 :9195
0.4 9.2 :9296
0.4 9.3 :9397
0.4 9.4 :9498
0.4 9.5 :9599
0.4 9.6 :9700
0.4 9.7 :9801
0.4 9.8 :9902
0.4 9.9 :10003
0.4 10 :10104
X Y  Index
---------------------------------------------------
0.5 0 :5
0.5 0.1 :106
0.5 0.2 :207
0.5 0.3 :308
0.5 0.4 :409
0.5 0.5 :510
0.5 0.6 :611
0.5 0.7 :712
0.5 0.8 :813
0.5 0.9 :914
0.5 1 :1015
0.5 1.1 :1116
0.5 1.2 :1217
0.5 1.3 :1318
0.5 1.4 :1419
0.5 1.5 :1520
0.5 1.6 :1621
0.5 1.7 :1722
0.5 1.8 :1823
0.5 1.9 :1924
0.5 2 :2025
0.5 2.1 :2126
0.5 2.2 :2227
0.5 2.3 :2328
0.5 2.4 :2429
0.5 2.5 :2530
0.5 2.6 :2631
0.5 2.7 :2732
0.5 2.8 :2833
0.5 2.9 :2934
0.5 3 :3035
0.5 3.1 :3136
0.5 3.2 :3237
0.5 3.3 :3338
0.5 3.4 :3439
0.5 3.5 :3540
0.5 3.6 :3641
0.5 3.7 :3742
0.5 3.8 :3843
0.5 3.9 :3944
0.5 4 :4045
0.5 4.1 :4146
0.5 4.2 :4247
0.5 4.3 :4348
0.5 4.4 :4449
0.5 4.5 :4550
0.5 4.6 :4651
0.5 4.7 :4752
0.5 4.8 :4853
0.5 4.9 :4954
0.5 5 :5055
0.5 5.1 :5156
0.5 5.2 :5257
0.5 5.3 :5358
0.5 5.4 :5459
0.5 5.5 :5560
0.5 5.6 :5661
0.5 5.7 :5762
0.5 5.8 :5863
0.5 5.9 :5964
0.5 6 :6065
0.5 6.1 :6166
0.5 6.2 :6267
0.5 6.3 :6368
0.5 6.4 :6469
0.5 6.5 :6570
0.5 6.6 :6671
0.5 6.7 :6772
0.5 6.8 :6873
0.5 6.9 :6974
0.5 7 :7075
0.5 7.1 :7176
0.5 7.2 :7277
0.5 7.3 :7378
0.5 7.4 :7479
0.5 7.5 :7580
0.5 7.6 :7681
0.5 7.7 :7782
0.5 7.8 :7883
0.5 7.9 :7984
0.5 8 :8085
0.5 8.1 :8186
0.5 8.2 :8287
0.5 8.3 :8388
0.5 8.4 :8489
0.5 8.5 :8590
0.5 8.6 :8691
0.5 8.7 :8792
0.5 8.8 :8893
0.5 8.9 :8994
0.5 9 :9095
0.5 9.1 :9196
0.5 9.2 :9297
0.5 9.3 :9398
0.5 9.4 :9499
0.5 9.5 :9600
0.5 9.6 :9701
0.5 9.7 :9802
0.5 9.8 :9903
0.5 9.9 :10004
0.5 10 :10105
X Y  Index
---------------------------------------------------
0.6 0 :6
0.6 0.1 :107
0.6 0.2 :208
0.6 0.3 :309
0.6 0.4 :410
0.6 0.5 :511
0.6 0.6 :612
0.6 0.7 :713
0.6 0.8 :814
0.6 0.9 :915
0.6 1 :1016
0.6 1.1 :1117
0.6 1.2 :1218
0.6 1.3 :1319
0.6 1.4 :1420
0.6 1.5 :1521
0.6 1.6 :1622
0.6 1.7 :1723
0.6 1.8 :1824
0.6 1.9 :1925
0.6 2 :2026
0.6 2.1 :2127
0.6 2.2 :2228
0.6 2.3 :2329
0.6 2.4 :2430
0.6 2.5 :2531
0.6 2.6 :2632
0.6 2.7 :2733
0.6 2.8 :2834
0.6 2.9 :2935
0.6 3 :3036
0.6 3.1 :3137
0.6 3.2 :3238
0.6 3.3 :3339
0.6 3.4 :3440
0.6 3.5 :3541
0.6 3.6 :3642
0.6 3.7 :3743
0.6 3.8 :3844
0.6 3.9 :3945
0.6 4 :4046
0.6 4.1 :4147
0.6 4.2 :4248
0.6 4.3 :4349
0.6 4.4 :4450
0.6 4.5 :4551
0.6 4.6 :4652
0.6 4.7 :4753
0.6 4.8 :4854
0.6 4.9 :4955
0.6 5 :5056
0.6 5.1 :5157
0.6 5.2 :5258
0.6 5.3 :5359
0.6 5.4 :5460
0.6 5.5 :5561
0.6 5.6 :5662
0.6 5.7 :5763
0.6 5.8 :5864
0.6 5.9 :5965
0.6 6 :6066
0.6 6.1 :6167
0.6 6.2 :6268
0.6 6.3 :6369
0.6 6.4 :6470
0.6 6.5 :6571
0.6 6.6 :6672
0.6 6.7 :6773
0.6 6.8 :6874
0.6 6.9 :6975
0.6 7 :7076
0.6 7.1 :7177
0.6 7.2 :7278
0.6 7.3 :7379
0.6 7.4 :7480
