X Y Index
---------------------------------------------------
0 0 :0
0.909091 0 :1
1.81818 0 :2
2.72727 0 :3
3.63636 0 :4
4.54545 0 :5
5.45455 0 :6
6.36364 0 :7
7.27273 0 :8
8.18182 0 :9
9.09091 0 :10
10 0 :11
X Y Index
---------------------------------------------------
0 0.909091 :12
0.909091 0.909091 :13
1.81818 0.909091 :14
2.72727 0.909091 :15
3.63636 0.909091 :16
4.54545 0.909091 :17
5.45455 0.909091 :18
6.36364 0.909091 :19
7.27273 0.909091 :20
8.18182 0.909091 :21
9.09091 0.909091 :22
10 0.909091 :23
X Y Index
---------------------------------------------------
0 1.81818 :24
0.909091 1.81818 :25
1.81818 1.81818 :26
2.72727 1.81818 :27
3.63636 1.81818 :28
4.54545 1.81818 :29
5.45455 1.81818 :30
6.36364 1.81818 :31
7.27273 1.81818 :32
8.18182 1.81818 :33
9.09091 1.81818 :34
10 1.81818 :35
X Y Index
---------------------------------------------------
0 2.72727 :36
0.909091 2.72727 :37
1.81818 2.72727 :38
2.72727 2.72727 :39
3.63636 2.72727 :40
4.54545 2.72727 :41
5.45455 2.72727 :42
6.36364 2.72727 :43
7.27273 2.72727 :44
8.18182 2.72727 :45
9.09091 2.72727 :46
10 2.72727 :47
X Y Index
---------------------------------------------------
0 3.63636 :48
0.909091 3.63636 :49
1.81818 3.63636 :50
2.72727 3.63636 :51
3.63636 3.63636 :52
4.54545 3.63636 :53
5.45455 3.63636 :54
6.36364 3.63636 :55
7.27273 3.63636 :56
8.18182 3.63636 :57
9.09091 3.63636 :58
10 3.63636 :59
X Y Index
---------------------------------------------------
0 4.54545 :60
0.909091 4.54545 :61
1.81818 4.54545 :62
2.72727 4.54545 :63
3.63636 4.54545 :64
4.54545 4.54545 :65
5.45455 4.54545 :66
6.36364 4.54545 :67
7.27273 4.54545 :68
8.18182 4.54545 :69
9.09091 4.54545 :70
10 4.54545 :71
X Y Index
---------------------------------------------------
0 5.45455 :72
0.909091 5.45455 :73
1.81818 5.45455 :74
2.72727 5.45455 :75
3.63636 5.45455 :76
4.54545 5.45455 :77
5.45455 5.45455 :78
6.36364 5.45455 :79
7.27273 5.45455 :80
8.18182 5.45455 :81
9.09091 5.45455 :82
10 5.45455 :83
X Y Index
---------------------------------------------------
0 6.36364 :84
0.909091 6.36364 :85
1.81818 6.36364 :86
2.72727 6.36364 :87
3.63636 6.36364 :88
4.54545 6.36364 :89
5.45455 6.36364 :90
6.36364 6.36364 :91
7.27273 6.36364 :92
8.18182 6.36364 :93
9.09091 6.36364 :94
10 6.36364 :95
X Y Index
---------------------------------------------------
0 7.27273 :96
0.909091 7.27273 :97
1.81818 7.27273 :98
2.72727 7.27273 :99
3.63636 7.27273 :100
4.54545 7.27273 :101
5.45455 7.27273 :102
6.36364 7.27273 :103
7.27273 7.27273 :104
8.18182 7.27273 :105
9.09091 7.27273 :106
10 7.27273 :107
X Y Index
---------------------------------------------------
0 8.18182 :108
0.909091 8.18182 :109
1.81818 8.18182 :110
2.72727 8.18182 :111
3.63636 8.18182 :112
4.54545 8.18182 :113
5.45455 8.18182 :114
6.36364 8.18182 :115
7.27273 8.18182 :116
8.18182 8.18182 :117
9.09091 8.18182 :118
10 8.18182 :119
X Y Index
---------------------------------------------------
0 9.09091 :120
0.909091 9.09091 :121
1.81818 9.09091 :122
2.72727 9.09091 :123
3.63636 9.09091 :124
4.54545 9.09091 :125
5.45455 9.09091 :126
6.36364 9.09091 :127
7.27273 9.09091 :128
8.18182 9.09091 :129
9.09091 9.09091 :130
10 9.09091 :131
X Y Index
---------------------------------------------------
0 10 :132
0.909091 10 :133
1.81818 10 :134
2.72727 10 :135
3.63636 10 :136
4.54545 10 :137
5.45455 10 :138
6.36364 10 :139
7.27273 10 :140
8.18182 10 :141
9.09091 10 :142
10 10 :143
