X Y  Index
---------------------------------------------------
0 0 :0
0.0333333 0 :1
0.0666667 0 :2
0.1 0 :3
0.133333 0 :4
0.166667 0 :5
0.2 0 :6
0.233333 0 :7
0.266667 0 :8
0.3 0 :9
0.333333 0 :10
0.366667 0 :11
0.4 0 :12
0.433333 0 :13
0.466667 0 :14
0.5 0 :15
0.533333 0 :16
0.566667 0 :17
0.6 0 :18
0.633333 0 :19
0.666667 0 :20
0.7 0 :21
0.733333 0 :22
0.766667 0 :23
0.8 0 :24
0.833333 0 :25
0.866667 0 :26
0.9 0 :27
0.933333 0 :28
0.966667 0 :29
1 0 :30
1.03333 0 :31
1.06667 0 :32
1.1 0 :33
1.13333 0 :34
1.16667 0 :35
1.2 0 :36
1.23333 0 :37
1.26667 0 :38
1.3 0 :39
1.33333 0 :40
1.36667 0 :41
1.4 0 :42
1.43333 0 :43
1.46667 0 :44
1.5 0 :45
1.53333 0 :46
1.56667 0 :47
1.6 0 :48
1.63333 0 :49
1.66667 0 :50
1.7 0 :51
1.73333 0 :52
1.76667 0 :53
1.8 0 :54
1.83333 0 :55
1.86667 0 :56
1.9 0 :57
1.93333 0 :58
1.96667 0 :59
2 0 :60
2.03333 0 :61
2.06667 0 :62
2.1 0 :63
2.13333 0 :64
2.16667 0 :65
2.2 0 :66
2.23333 0 :67
2.26667 0 :68
2.3 0 :69
2.33333 0 :70
2.36667 0 :71
2.4 0 :72
2.43333 0 :73
2.46667 0 :74
2.5 0 :75
2.53333 0 :76
2.56667 0 :77
2.6 0 :78
2.63333 0 :79
2.66667 0 :80
2.7 0 :81
2.73333 0 :82
2.76667 0 :83
2.8 0 :84
2.83333 0 :85
2.86667 0 :86
2.9 0 :87
2.93333 0 :88
2.96667 0 :89
3 0 :90
3.03333 0 :91
3.06667 0 :92
3.1 0 :93
3.13333 0 :94
3.16667 0 :95
3.2 0 :96
3.23333 0 :97
3.26667 0 :98
3.3 0 :99
3.33333 0 :100
3.36667 0 :101
3.4 0 :102
3.43333 0 :103
3.46667 0 :104
3.5 0 :105
3.53333 0 :106
3.56667 0 :107
3.6 0 :108
3.63333 0 :109
3.66667 0 :110
3.7 0 :111
3.73333 0 :112
3.76667 0 :113
3.8 0 :114
3.83333 0 :115
3.86667 0 :116
3.9 0 :117
3.93333 0 :118
