Number of circles: 8374, Packing Fraction = 0.160241, Time = 0.044967
Number of circles: 8768, Packing Fraction = 0.167780, Time = 0.051059
Number of circles: 9362, Packing Fraction = 0.179147, Time = 0.056996
Number of circles: 7796, Packing Fraction = 0.149180, Time = 0.051039
Number of circles: 10126, Packing Fraction = 0.193766, Time = 0.086668
Number of circles: 9885, Packing Fraction = 0.189155, Time = 0.059759
Number of circles: 10403, Packing Fraction = 0.199067, Time = 0.063384
Number of circles: 9195, Packing Fraction = 0.175951, Time = 0.053388
Number of circles: 8265, Packing Fraction = 0.158155, Time = 0.046193
Number of circles: 9117, Packing Fraction = 0.174458, Time = 0.056948
