Distance Squared = 1.881392, compared to 6.091024
Distance Squared = 2.544433, compared to 6.091024
Distance Squared = 5.862507, compared to 6.091024
Distance Squared = 1.202121, compared to 6.091024
Distance Squared = 5.569119, compared to 6.091024
Distance Squared = 3.568294, compared to 6.091024
Distance Squared = 0.085802, compared to 6.091024
Distance Squared = 3.036301, compared to 6.091024
Distance Squared = 0.618080, compared to 6.091024
Distance Squared = 4.238550, compared to 6.091024
Distance Squared = 5.837742, compared to 6.091024
Distance Squared = 5.090385, compared to 6.091024
Distance Squared = 5.796160, compared to 6.091024
Distance Squared = 5.837221, compared to 6.091024
Distance Squared = 1.543330, compared to 6.091024
Distance Squared = 1.402418, compared to 6.091024
Distance Squared = 2.986499, compared to 6.091024
Distance Squared = 1.186913, compared to 6.091024
Distance Squared = 1.498333, compared to 6.091024
Distance Squared = 1.842268, compared to 6.091024
Distance Squared = 0.635935, compared to 6.091024
Distance Squared = 5.463654, compared to 6.091024
Distance Squared = 5.741720, compared to 6.091024
Distance Squared = 1.128830, compared to 6.091024
Distance Squared = 1.175851, compared to 6.091024
Distance Squared = 5.184924, compared to 6.091024
Distance Squared = 4.142248, compared to 6.091024
Distance Squared = 2.254540, compared to 6.091024
Distance Squared = 4.540042, compared to 6.091024
Distance Squared = 1.820292, compared to 6.091024
Distance Squared = 5.226924, compared to 6.091024
Distance Squared = 5.470569, compared to 6.091024
Distance Squared = 3.432288, compared to 6.091024
Distance Squared = 1.636850, compared to 6.091024
Distance Squared = 2.337604, compared to 6.091024
Distance Squared = 3.490671, compared to 6.091024
Distance Squared = 0.665994, compared to 6.091024
Distance Squared = 3.098651, compared to 6.091024
Distance Squared = 4.741943, compared to 6.091024
Distance Squared = 3.704198, compared to 6.091024
Distance Squared = 5.338246, compared to 6.091024
Distance Squared = 5.122357, compared to 6.091024
Distance Squared = 0.658441, compared to 6.091024
Distance Squared = 0.800047, compared to 6.091024
Distance Squared = 1.069116, compared to 6.091024
Distance Squared = 1.702589, compared to 6.091024
Distance Squared = 4.030807, compared to 6.091024
Distance Squared = 0.677942, compared to 6.091024
Distance Squared = 0.296065, compared to 6.091024
Distance Squared = 6.046808, compared to 6.091024
Distance Squared = 2.816242, compared to 6.091024
Distance Squared = 4.407000, compared to 6.091024
Distance Squared = 5.144333, compared to 6.091024
Distance Squared = 1.041772, compared to 6.091024
Distance Squared = 1.748151, compared to 6.091024
Distance Squared = 1.392909, compared to 6.091024
Distance Squared = 0.703228, compared to 6.091024
Distance Squared = 5.372756, compared to 6.091024
Distance Squared = 2.144638, compared to 6.091024
Distance Squared = 2.656227, compared to 6.091024
Distance Squared = 1.442532, compared to 6.091024
