8.73114	48.4449	103.348	3.2479
23.5142	77.912	27.9152	4.36505
78.1734	105.431	62.6302	3.88335
12.508	16.8152	64.2181	3.32908
33.2693	51.8549	65.2759	3.58021
80.4205	109.736	55.8084	3.78913
12.659	2.7412	22.1266	3.50445
19.5765	71.7834	86.2721	3.3302
47.7109	51.733	13.1508	3.04716
31.7057	6.3524	75.5941	3.50877
8.22827	90.5289	2.15639	3.72454
97.875	35.4565	1.93087	3.31093
80.8086	76.8126	30.6404	2.91178
96.6186	74.7352	4.22889	3.6852
90.0903	70.5369	23.9029	3.49168
31.2425	108	44.2088	3.69251
112.332	82.241	21.5149	3.88754
91.7412	34.1121	87.5403	3.89486
19.8748	83.6084	54.1596	3.89782
18.0449	14.7519	105.621	3.34847
29.6304	66.0085	95.0178	3.52711
88.1656	39.1542	47.8891	3.31699
11.0454	28.8315	92.4064	3.16552
3.63254	41.2022	15.8338	2.93589
106.264	52.722	5.28933	3.9838
60.7525	55.5704	15.1579	3.64879
34.0444	32.9654	1.89649	3.86107
113.669	77.1239	56.7874	3.61571
31.9841	95.2914	8.68448	4.02706
100.735	86.8931	35.6451	3.59666
107.204	95.5854	61.9897	3.79489
16.6901	113.918	26.2653	3.49402
2.54276	62.5023	44.8693	3.96313
101.102	90.6374	3.02495	4.28908
60.7672	68.6217	108.569	4.27207
27.5906	65.3166	49.4136	4.25882
17.0615	44.2541	87.9622	3.78437
79.0289	95.1022	112.384	3.50427
1.76935	63.5377	106.637	3.86098
87.9394	7.73003	99.0122	3.14193
98.9866	27.9664	102.033	3.70191
82.6432	43.2942	45.1127	4.04114
99.4418	49.6894	105.791	3.97347
31.907	83.0137	3.9291	3.41044
94.3074	48.3666	24.5768	3.70833
80.7328	3.98475	81.3925	3.50996
13.2925	86.2039	55.433	3.18996
27.829	58.8771	34.9894	3.65129
96.9583	86.9744	47.423	3.13816
108.859	24.0384	77.2472	3.63683
53.8518	94.847	68.7433	3.48724
65.8125	71.9401	76.7691	3.34234
62.8521	17.4308	58.9698	3.82613
73.7134	39.3874	69.152	3.77037
33.6499	44.1045	75.5713	3.68221
50.1412	86.9812	40.0089	3.3623
47.1033	74.5049	101.119	3.67395
85.9332	15.6175	104.966	3.71654
92.7519	82.6295	24.4834	3.68936
77.9286	57.4403	21.2926	4.41655
6.61003	72.5495	39.581	4.39821
81.4748	98.2344	16.4075	3.38153
103.12	77.495	17.5735	3.78657
50.679	58.3295	93.718	3.3981
106.057	30.3733	76.2523	3.24324
9.09265	112.698	38.1997	3.73958
48.9307	51.3398	95.7647	4.04609
8.25924	106.6	94.3567	3.19689
10.4056	33.9476	23.1263	3.65081
113.849	73.1507	37.2342	3.83225
49.0808	53.2867	41.5965	3.46872
114.481	45.1789	108.448	3.52784
86.415	84.4919	10.141	4.03852
69.4145	76.6311	65.6252	3.37651
82.9305	17.1234	40.8809	3.69376
107.036	61.9066	107.986	3.66822
106.675	82.0219	12.4942	3.71173
12.8276	1.28074	85.3449	3.94625
40.4103	90.9968	28.0718	3.54922
94.7169	3.04658	12.0245	4.86146
85.8053	58.4681	76.0642	3.91226
85.0878	25.1237	12.9484	3.21681
25.2379	25.9602	23.6986	3.97045
10.459	19.4663	28.8135	3.44071
85.306	36.59	41.6013	3.79521
79.5763	21.7507	45.951	3.8628
71.1429	91.8354	14.8589	4.1113
92.8553	89.4125	21.2948	3.57422
68.4539	72.8892	46.3172	4.08759
24.3559	36.1388	69.534	3.73609
96.5158	107.583	78.0838	3.95838
91.0622	19.8449	45.2872	3.56345
36.7052	2.55654	23.4492	3.70096
62.4463	69.264	34.3489	3.51328
98.1984	12.8604	27.4415	3.447
14.5374	34.4983	95.1024	3.89917
93.1079	100.406	106.501	3.77498
83.3798	66.9936	81.5652	3.5866
9.98718	75.9196	23.4611	4.04784
89.0628	103.764	13.9229	3.59052
16.0626	40.6637	19.6175	3.80994
9.05494	86.8324	45.0666	3.41171
98.959	4.7456	77.3991	4.2715
75.0152	3.21865	61.5486	3.16851
109.007	52.9191	81.7118	3.21565
23.7888	68.3111	91.5198	3.25405
93.6528	111.571	7.43169	3.27248
60.805	105.549	106.501	3.3142
9.04572	9.73545	111.964	3.35714
3.35465	16.0679	27.969	3.92178
46.6564	26.2861	80.4653	4.01162
20.5546	113.517	65.0229	3.1449
78.2891	37.8484	104.097	3.71617
84.4945	95.5087	101.34	3.6418
35.9206	39.6663	89.4198	3.89882
106.776	44.8245	77.1862	4.1748
55.8139	66.3713	33.5775	3.74564
21.5869	1.78044	87.4039	3.56705
54.1941	80.3781	111.802	3.72318
2.74486	2.78857	27.1683	3.46344
74.3021	84.9654	83.0997	4.08329
114.452	40.5057	32.1497	4.48578
66.8396	10.6382	111.762	3.23727
103.5	88.9318	62.9603	3.73131
18.2521	80.0614	8.77148	3.18048
40.356	50.6783	36.2341	4.80438
34.2434	92.9805	111.221	3.4191
69.0892	111.233	99.9975	3.90264
80.7981	105.329	49.7986	3.56492
91.8557	34.3739	64.1122	3.21832
6.09	63.6133	38.4086	3.36434
94.6832	97.8145	87.6885	3.83675
74.3752	10.1141	111.406	4.02937
60.8111	54.1736	7.9343	3.43488
87.7756	22.2678	110.686	3.94631
97.7167	0.783829	106.733	3.25263
11.7395	63.4705	72.3645	3.58943
83.4398	91.4368	9.16927	3.42567
71.7134	110.876	37.4958	3.91716
52.9064	74.8105	56.7249	3.11698
84.1809	117.903	75.3693	3.50793
69.7224	98.1951	29.5442	3.75998
85.8558	34.801	94.0718	3.38992
70.9775	35.3701	25.5815	3.7426
43.4185	76.5053	16.159	3.05724
52.055	9.37499	70.639	3.38696
40.5895	100.152	1.4723	3.06766
43.499	18.6765	8.696	3.39912
104.365	16.6714	1.08549	3.1972
51.2084	3.41679	19.4826	3.23162
92.4485	52.5187	104.114	3.63428
16.6817	91.3396	92.0446	3.89651
34.2892	21.9705	80.7604	3.33275
89.2644	50.1046	96.8864	4.05352
85.2288	105.651	59.7059	3.41884
72.7605	87.5563	69.6024	3.68601
